Datetime,Intervall [ms],A51_M1S_494 (Belegungen/Intervall),A51_M1S_494 (Verweilzeit/Intervall) [ms],A54_M4SL_506 (Belegungen/Intervall),A54_M4SL_506 (Verweilzeit/Intervall) [ms],A55_M3S_505 (Belegungen/Intervall),A55_M3S_505 (Verweilzeit/Intervall) [ms],D11 (Belegungen/Intervall),D11 (Verweilzeit/Intervall) [ms],D12 (Belegungen/Intervall),D12 (Verweilzeit/Intervall) [ms],D21 (Belegungen/Intervall),D21 (Verweilzeit/Intervall) [ms],Fiber_reserve (Belegungen/Intervall),Fiber_reserve (Verweilzeit/Intervall) [ms],H51_A74/M1S_493 (Belegungen/Intervall),H51_A74/M1S_493 (Verweilzeit/Intervall) [ms],H54_M3SL_1289 (Belegungen/Intervall),H54_M3SL_1289 (Verweilzeit/Intervall) [ms],H55_A30/M3S_504 (Belegungen/Intervall),H55_A30/M3S_504 (Verweilzeit/Intervall) [ms],LLB-Test (Belegungen/Intervall),LLB-Test (Verweilzeit/Intervall) [ms],Power_on (Belegungen/Intervall),Power_on (Verweilzeit/Intervall) [ms],Sync (Belegungen/Intervall),Sync (Verweilzeit/Intervall) [ms],foult (Belegungen/Intervall),foult (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-02 22:00:00,3600000,6.0,5990.0,4.0,3980.0,10.0,10000.0,34.0,22191.0,77.0,83040.0,112.0,99913.0,0.0,0.0,5.0,4990.0,4.0,4000.0,10.0,9980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,22
2021-06-02 23:00:00,3600000,6.0,5980.0,4.0,3980.0,8.0,8000.0,22.0,15820.0,57.0,46705.0,92.0,83662.0,0.0,0.0,6.0,5990.0,3.0,2990.0,8.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,2,23
2021-06-03 00:00:00,3600000,4.0,4000.0,4.0,4000.0,8.0,7990.0,21.0,13960.0,43.0,33670.0,72.0,59630.0,0.0,0.0,4.0,3980.0,4.0,4000.0,8.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,0
2021-06-03 01:00:00,3600000,4.0,4000.0,0.0,0.0,0.0,0.0,19.0,10110.0,31.0,23450.0,50.0,43550.0,0.0,0.0,4.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,1
2021-06-03 02:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3180.0,25.0,21330.0,38.0,28450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,2
2021-06-03 03:00:00,3600000,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6350.0,16.0,11640.0,30.0,17196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,3
2021-06-03 04:00:00,3600000,1.0,1000.0,0.0,0.0,2.0,2000.0,16.0,12650.0,15.0,14220.0,20.0,12960.0,0.0,0.0,1.0,1000.0,0.0,0.0,2.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,4
2021-06-03 05:00:00,3600000,1.0,1000.0,1.0,1000.0,4.0,4000.0,12.0,8220.0,9.0,6140.0,24.0,15460.0,0.0,0.0,1.0,990.0,1.0,990.0,4.0,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,5
2021-06-03 06:00:00,3600000,3.0,3000.0,2.0,2000.0,6.0,5990.0,8.0,5230.0,19.0,15640.0,32.0,19100.0,0.0,0.0,3.0,3000.0,2.0,2000.0,6.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,6
2021-06-03 07:00:00,3600000,4.0,3990.0,2.0,2000.0,6.0,6000.0,12.0,6890.0,14.0,9640.0,31.0,21850.0,0.0,0.0,4.0,3990.0,2.0,2000.0,6.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,7
